	Last updated on 23/10/2024	
556	407642001	Main spoken language Italian
557	170549007	Chronic disease monitoring
558	185419001	Appointment made at reception
559	39114711000001108	Generic COVID-19 Vaccine AstraZeneca (ChAdOx1 S [recombinant]) 5x10,000,000,000 viral particles/0.5ml dose solution for injection multidose vials 8 dose (product)
560	1066891000000103	Chronic heart disease monitoring SMS second invitation
561	306806004	Recommendation to continue with drug treatment (procedure)
562	228368007	Has never misused drugs (situation)
563	1066871000000102	Chronic heart disease monitoring SMS first invitation
564	868011000000101	12-13 months immunisations invitation second letter
565	93311000000106	Medication review of medical notes (procedure)
566	161481007	History of migraine (situation)
567	76067001	Sneezing
568	736253002	Mental health crisis plan (record artifact)
569	249288007	Incomplete emptying of bladder
570	912991000000104	Advice given about access to emergency appointment (situation)
571	297242006	Family history of ischaemic heart disease
572	970501000000106	Main spoken language Chinese
573	820641000000100	Choose and book advice and guidance request (procedure)
574	1085201000000103	Signposting to general practice based physiotherapist (procedure)
575	784511000000102	Referral to primary care ophthalmology clinic (procedure)
576	783671000000106	Intrauterine system contraception leaflet given (situation)
577	526921000000102	Contraceptive advice for patients with epilepsy (procedure)
578	313204009	Lifestyle education
579	80587008	Jehovah's Witness
580	698449007	Antibiotic therapy indicated (situation)
581	1084421000000109	Signposting to nurse (procedure)
582	314827004	Epilepsy control good (finding)
583	1085181000000102	Blood pressure monitoring invitation SMS
584	711461000000104	Heart failure monitoring invitation
585	515201000000103	Opportunistic verification of patient mobile telephone number (procedure)
586	134396000	Statin declined
587	827571000000106	Has chronic obstructive pulmonary disease care plan (finding)
588	415118009	Pneumococcal vaccination invitation letter sent
589	182850000	Drugs not issued
590	415572005	Spirometry test declined (situation)
591	1324661000000105	Adverse reaction to SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) vaccine
592	698678003	Main spoken language Romanian
593	366979004	Depressed mood (finding)
594	1066941000000104	Hypertension monitoring invitation short message service text message (procedure)
595	413129005	Patient asked to make an appointment
596	160567004	Agnostic
597	160631001	Enjoys light exercise (finding)
598	268459005	Oral Contraceptive Advice
599	268529002	Shared care - consultant and general practitioner
600	288999009	Ability to feed self (observable entity)
601	714241000000102	Patient contact administration (record artifact)
602	313341000000108	Advised to contact surgery for test result
603	1092841000000109	Declined Invitation to attend care planning appointment
604	1109921000000106	QOF (Quality and Outcomes Framework) quality indicator-related care invitation
605	248551000000108	Mental health monitoring telephone invitation
606	282315002	Difficulty balancing when standing (finding)
607	198501000000100	Diabetic 6 month review (regime/therapy)
608	160871009	Child in foster care (finding)
609	764526007	Declined to provide Spoken Language
610	68235000	Nasal congestion
611	149641000000104	Provision of ACR ( albumin to creatinine ratio) semi-quantitative urinalysis home test kit declined
612	370156007	Language read (finding)
613	1366091000000107	Assessment using Oxford Knee Score (procedure)
614	313207002	Menopause education
615	414669002	Mental health monitoring invitation
616	407621003	Daily seizures (finding)
617	203031000000107	Informed consent given
618	752321000000102	Coeliac disease monitoring invitation second letter
619	983341000000102	Pharmacy First service
620	161938003	No breathlessness (situation)
621	837271000000107	Carer annual health check declined
622	699830009	Food fortification education (procedure)
623	408356009	Drug side effects checked
624	428556002	Total international prostate symptom score (observable entity)
625	712656006	Frequency of hypoglycemia attack
626	473127005	Suspected diabetes mellitus (situation)
627	448765001	Unintentional weight loss (finding)
628	266939009	Lives in residential hostel (finding)
629	511531000000109	Diphtheria, tetanus, acellular pertussis, inactivated polio vaccination declined (situation)
630	504601000000100	Choice and booking letter reminder to make initial hospital appointment (procedure)
631	171105009	Screening invite - not replied (finding)
632	1098031000000105	Signposting to physician associate (procedure)
633	881161000000105	Request for individual funding declined
634	977871000000100	Other ethnic group: any other ethnic group - Northern Ireland ethnic category 2011 census
635	408365002	Able to use medication (finding)
636	836441000000104	Cervical smear screening invitation SMS text
637	867171000000106	No asthma trigger identified by subject
638	1.32528E+15	Discussion about telehealth pulse oximetry monitoring
639	160474007	Family history: Atopy (situation)
640	129035000	Independent with dressing (finding)
641	271787007	Collapse
642	863911000000109	Sending of opt-in appointment letter (procedure)
643	711563001	No known exposure to tobacco smoke (finding)
644	160632008	Enjoys moderate exercise (finding)
645	1085401000000104	Signposting to support service for carers (procedure)
646	885971000000103	First intranasal seasonal influenza vaccination declined (situation)
647	168431005	Cervical smear: repeat 3 months
648	719326006	Medication review done by pharmacy technician (situation)
649	1240571000000101	Gastroenteritis caused by SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2)
650	401228008	No thoughts of deliberate self harm (situation)
651	300913006	Allergy to shellfish (finding)
652	1049361000000101	Quantitative faecal immunochemical test
653	169750002	Mother currently breast-feeding (finding)
654	794541000000100	Request received for letter
655	988811000000102	Family of active serving member of the Armed Forces (finding)
656	428274007	Dietary education for type II diabetes mellitus (procedure)
657	243085009	Oral health education (procedure)
658	30473006	Pain in pelvis (finding)
659	419076005	Allergic reaction (disorder)
660	68254000	Removal of intrauterine device (procedure)
661	8943002	Weight gain (finding)
662	414859005	No consent for electronic record sharing (finding)
663	1110931000000103	QOF heart failure quality indicator-related care invitation
664	986491000000109	Active serving member of the Royal Air Force (occupation)
665	160592001	Alcohol intake above recommended sensible limits
666	840544004	Suspected COVID-19
667	44186003	Dyssomnia (disorder)
668	771671000000101	Needs assistance with shopping (finding)
669	8517006	Ex-smoker
670	1.08252E+15	Diphtheria, tetanus and acellular pertussis, inactivated polio, Haemophilus influenzae type b and hepatitis B vaccination declined (situation)
671	182856006	Drug not available - out of stock (finding)
672	707447008	Exacerbation of severe persistent asthma (disorder)
673	110292000	Difficulty eating (finding)
674	313334002	Blood sample taken (situation)
675	422400008	Vomiting (disorder)
676	160943002	Lives in own home (finding)
677	197541000000101	Occasional drug user (finding)
678	775201000000105	CVD risk assessment invitation SMS text message sent
679	267068004	Never been sexually active (finding)
680	201601000000107	Advice on meningitis vaccination
681	433144002	Chronic kidney disease stage 3 (disorder)
682	959741000000108	Thyroid monitoring SMS text message first invitation
683	278528006	Facial swelling (finding)
684	368209003	Right upper arm structure (body structure)
685	717491000000102	Excepted from heart failure quality indicators - informed dissent
686	371246006	Green color (qualifier value)
687	866191000000108	Pertussis vaccination in pregnancy invitation second letter (procedure)
688	169413002	Hormone Therapy
689	1108121000000101	Has My Healthcare Passport (finding)
690	975181000000100	Signposting family member to resource (procedure)
691	761893003	Fasting blood test due (situation)
692	887951000000102	No response to dementia screening invitation (finding)
693	725111000000103	Survey (qualifier value)
694	810951000000101	Chronic obstructive pulmonary disease self-management plan review (procedure)
695	888461000000107	Chronic disease management annual review completed (situation)
696	148481000000101	Seen by care coordinator
697	390885007	Heart failure annual review
698	198461000000100	Referral to practice phlebotomist (procedure)
699	279039007	Low back pain (finding)
700	2081000000105	Histopathology report received
701	266882009	No family history of ischaemic heart disease
702	1321551000000106	SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) IgM detection result positive
703	1084231000000105	Signposting to Age UK (procedure)
704	134280000	Reads English
705	513141000000109	Appropriate referral (finding)
706	976651000000108	White: Irish - England and Wales ethnic category 2011 census
707	430193006	Medication reconciliation (procedure)
708	308273005	Follow-up status
709	861611000000100	Education about anxiety (procedure)
710	699840007	Provision of written information about antibiotic therapy (procedure)
711	986531000000109	Active serving member of the Royal Marines (occupation)
712	279911000000106	Patient health questionnaire 9 declined (situation)
713	23924001	Tight chest
714	165356001	Test result by letter to patient (situation)
715	267036007	Dyspnoea
716	160605003	Heavy cigarette smoker (20-39 cigs/day)
717	414205003	Family history of prostate cancer (situation)
718	401201003	Cigarette pack-years
719	1066961000000103	Hypertension monitoring short message service text message second invitation
720	413765008	Carer of a person with substance misuse
721	505031000000103	Measles mumps rubella catch-up vaccination declined
722	306179008	Referral to pharmacy service
723	275917000	Lithium monitoring (finding)
724	912641000000104	Long term condition care planning invitation
725	202081000000103	Epilepsy monitoring call 3rd letter
726	414925007	Obtaining consent (procedure)
727	159040006	Pharmacy technician
728	288231000119101	Cares for dependent relative at home
729	51476001	Nasopharyngitis
730	429070000	Preconception care (regime/therapy)
731	310252000	Body mass index less than 20 (finding)
732	714256001	DEXA scan requested
733	824381000000105	Registered patient lives outside practice area
734	228535001	Skin care management (procedure)
735	170662003	Using inhaled steroids - high dose (finding)
736	78104003	Regurgitation
737	1325181000000106	Ongoing symptomatic COVID-19
738	240706001	Candida Infection of Genital Region
739	306225008	Referral to counselling service
740	413076004	No past history of venous thrombosis (situation)
741	1097171000000107	Referral for lifestyle education
742	896511000000107	Follow-up appointment offered (situation)
743	185324002	Failed encounter
744	160549006	Christian (including Church of England, Catholic, Protestant and all other Christian denominations)
745	185307008	Seen by optometrist (finding)
746	204331000000107	British Sign Language interpreter needed (finding)
747	352011000000106	Patient failed to respond to appointment opt-in letter (finding)
748	160604004	Moderate cigarette smoker (10-19 cigs/day)
749	772051000000106	Asthma limiting activities most days
750	748041000000107	Guided self-help using computer (regime/therapy)
751	787601000000109	Medication monitoring first letter
752	160620009	Ex-pipe smoker (finding)
753	315580004	Main spoken language Portuguese
754	867491000000104	Child immunisation invitation first SMS text message
755	1110951000000105	QOF mental health quality indicator-related care invitation
756	870588003	Sepsis due to disease caused by SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2)
757	1365251000000103	Referral for assessment for familial hypercholesterolaemia declined (situation)
758	248457000	Rigor - symptom (finding)
759	184147002	New patient questionnaire completed (finding)
760	986551000000102	Active serving member of the Army Reserve (occupation)
761	976711000000103	Mixed multiple ethnic groups: White and Black Caribbean - England and Wales ethnic category 2011 census
762	860381000000107	Chronic pain review (regime/therapy)
763	1092581000000103	Employed by domiciliary care provider (finding)
764	24461000000105	Referral to pulmonary rehabilitation
765	1322891000000108	SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) antibody detection result negative
766	1.04898E+15	Meningitis ACW and Y vaccination invitation first letter
767	267095009	Speech problem (finding)
768	370860007	Verification of allergy status (procedure)
769	190634004	Cobalamin deficiency
770	1239471000000109	Proactive care needs assessment planned (situation)
771	1110871000000109	QOF Cancer quality indicator-related care invitation
772	703138006	Type II diabetes mellitus in remission (disorder)
773	185721007	Hypertension monitoring third letter
774	266919005	Never smoked
775	160578007	Very heavy drinker - greater than 9 units/day (finding)
776	301747008	Difficulty performing information technology activities
777	129062008	Independent in toilet (finding)
778	228277002	Light drinker
779	390922008	Did not attend diabetic clinic
780	294631000000100	Unsuccessful attempt to contact patient by telephone
781	1127431000000103	Seen by clinical pharmacist (finding)
782	297241004	Family history of chronic obstructive lung disease (situation)
783	428433009	International prostate symptom score (assessment scale)
784	279991000000102	SMS sent to patient
785	200821000000109	Second pneumococcal vaccination invitation letter sent
786	39115611000001103	COVID-19 mRNA Vaccine Pfizer-BioNTech BNT162b2 30micrograms/0.3ml dose concentrate for suspension for injection multidose vials (Pfizer Ltd) (product)
787	713838004	Optimization of medication (procedure)
788	219006	Current drinker of alcohol (finding)
789	1053471000000102	Personal Wellbeing Score rating scale (assessment scale)
790	401202005	Did not attend mental health appointment
791	978211000000108	Asian or Asian Scottish or Asian British: any other Asian group - Scotland ethnic category 2011 census
792	1.32488E+15	SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) RNA (ribonucleic acid) detection result positive at the limit of detection
793	185563008	Child immunisation – first default recall
794	78564009	Pulse rate
795	1.10873E+15	Referral to online diabetes structured education programme
796	394835006	Patient medication education
797	223488008	Discussion about changes in lifestyle (procedure)
798	417540008	Stroke/transient ischemic attack (TIA) monitoring invitation
799	228276006	Occasional drinker
800	228525007	Exposed to tobacco smoke in public places (finding)
801	185492009	In-house physio (procedure)
802	859641000000109	Herpes zoster vaccination (procedure)
803	224520008	Carer can no longer cope
804	185685007	Adult immunization - first call
805	999791000000106	Haemoglobin A1c level - International Federation of Clinical Chemistry and Laboratory Medicine standardised (observable entity)
806	1084291000000106	Signposting to dentist
807	225933000	At increased risk from fire (finding)
808	268541009	Health education - back problems
809	838241000000102	Consent given for Electronic Prescription Service (finding)
810	396080005	Advice about side effects of drug treatment
811	304514001	Reminding about taking drug (procedure)
812	1362031000000105	Inclisiran indicated (situation)
813	1326721000000102	Ezetimibe refused (situation)
814	927921000000105	Appropriate triage decision
815	160671006	Gluten-free diet (finding)
816	763282002	New patient screening declined (situation)
817	166381000000102	Near patient testing enhanced services administration
818	868651000000109	Second rotavirus vaccination (procedure)
819	103699006	Patient referral to dietitian
820	91175000	Seizure (finding)
821	134277001	Reads Hindi
822	408368000	All over the counter medication checked (finding)
823	82423001	Chronic pain (finding)
824	48782003	Delivery normal (finding)
825	343881000000104	Contraceptive check second letter
826	34865811000001107	FreeStyle Libre Sensor (Abbott Laboratories Ltd) (physical object)
827	409073007	Education
828	1.08662E+15	Frailty assessment declined (situation)
829	986811000000103	Royal Navy veteran (finding)
830	865922007	Assessment using Autism Spectrum Screening Questionnaire (procedure)
831	750871000000108	Coeliac disease monitoring invitation
832	160603005	Light cigarette smoker (1-9 cigs/day)
833	1.36319E+15	Invitation for structured medication review declined (situation)
834	224228000	Living rough (finding)
835	413433006	Active monitoring (regime/therapy)
836	700412002	Does not have driving license (finding)
837	224363007	Employed (finding)
838	1103701000000102	Diabetic retinopathy screening offered
839	1290311000000106	Online access to own health record granted following enhanced health record review SNOMED
840	306562009	Discharge from service
841	936641000000108	Requires information in Makaton
842	401067009	Family history of myocardial infarction in 1st degree male relative <55 years
843	867331000000107	Vitamin D insufficiency
844	717381000000109	Excepted from atrial fibrillation quality indicators - informed dissent
845	827261000000102	Dissent withdrawn for secondary use of general practitioner patient identifiable data
846	371240000	Red color (qualifier value)
847	171183004	Diabetes mellitus screening (procedure)
848	279992002	Recurrent falls (finding)
849	1083061000000109	Learning disability annual health check invitation short message service text message (procedure)
850	415271004	Referral to education service
851	1067021000000107	Rheumatoid arthritis monitoring short message service text message third invitation
852	1326201000000101	Referral to weight management service
853	1325021000000106	Signposting to Your COVID Recovery
854	976811000000108	Asian or Asian British: Pakistani - England and Wales ethnic category 2011 census
855	370157003	Main spoken language (finding)
856	3.9301E+16	Generic COVID-19 Vaccine AstraZeneca (ChAdOx1 S [recombinant]) 5x10,000,000,000 viral particles/0.5ml dose solution for injection multidose vials 80 dose (product)
857	415261001	Referral for spirometry
858	1240601000000108	High priority for SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) vaccination
859	446654005	Refugee (person)
860	93211000000101	Epilepsy does not limit activities (finding)
861	149711000000106	Provision of ACR (albumin to creatinine ratio) semi-quantitative urinalysis home test kit offered
862	395155002	Prostate-specific antigen monitoring (regime/therapy)
863	717241000000108	Stroke/transient ischaemic attack monitoring telephone invitation
864	39115311000001108	Generic COVID-19 mRNA Vaccine BNT162b2 30micrograms/0.3ml dose concentrate for suspension for injection multidose vials (Pfizer-BioNTech) 5 dose (product)
865	315232003	Referral to stop-smoking clinic (procedure)
866	128869009	Infestation caused by Sarcoptes scabiei var hominis (disorder)
867	16208003	Low fat diet (finding)
868	805611000000101	Referral to domiciliary phlebotomy service (procedure)
869	134428006	Hormone replacement therapy review (regime/therapy)
870	1364731000000104	Enhanced review indicated before granting access to own health record (situation)
871	1103731000000108	Abdominal aortic aneurysm screening offered (situation)
872	314529007	Medication review due
873	772011000000107	Asthma limits activities 1 to 2 times per week
874	443288003	Lifestyle advice regarding diet
875	213257006	Generally unwell (finding)
876	1324691000000104	Administration of second dose of SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) vaccine
877	508621000000104	Intrauterine contraceptive device removal invitation (procedure)
878	162171002	Currently not sexually active (finding)
879	284034009	Pulse oximetry monitoring
880	880531000000103	Postnatal examination second invitation (procedure)
881	1110941000000107	QOF hypertension quality indicator-related care invitation
882	1066901000000102	Chronic heart disease monitoring SMS third invitation
883	978191000000109	Asian or Asian Scottish or Asian British: Chinese - Scotland ethnic category 2011 census
884	523241000000107	National Health Service Health Check invitation
885	62744007	Orthopnea (finding)
886	1240591000000102	SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) detection result negative
887	406506008	Attention deficit hyperactivity disorder (disorder)
888	305609004	Under care of optometrist (finding)
889	928451000000107	Asthma monitoring invitation SMS sent
890	867831000000102	Third Primary Immunisation Invitation third letter
891	869131000000101	Did not attend Herpes vaccination
892	414384004	Parenting education (procedure)
893	861531000000107	Diabetic foot screening invitation first letter (procedure)
894	312853008	Medical records review (procedure)
895	506171000000109	Referral to weight management service declined
896	844341000000104	Dependant of former serving member of British Armed Forces (finding)
897	1324871000000102	SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) RNA (ribonucleic acid) detection result indeterminate
898	763151000000107	Did not attend psychological therapy
899	715280009	Telehealth hypertension monitoring (regime/therapy)
900	1085351000000105	Signposting to bereavement support service (procedure)
901	310502008	Diet poor (finding)
902	1322911000000106	SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) antibody detection result unknown
903	1239881000000109	Provision of information about cancer support services available in primary care
904	228449008	Frequency of exercise (observable entity)
905	21522001	Abdominal pain (finding)
906	162053006	Suprapubic pain (finding)
907	166221000000105	Enhanced services administration (procedure)
908	161719001	Wishes to postpone menstruation (finding)
909	1322821000000105	SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) antigen detection result unknown
910	386661006	Fever
911	957071000000109	Requires deafblind block alphabet interpreter
912	224485002	Cares for a friend
913	921421000000105	Referral to community hub
914	54823002	Subclinical hypothyroidism (disorder)
915	171071003	Advice on foreign travel
916	160612007	Keeps trying to stop smoking (finding)
917	185757002	Diabetes monitoring second letter
918	335661000000109	Self measured blood pressure reading (observable entity)
919	408366001	Unable to use medication (finding)
920	394937002	Hormone replacement therapy education
921	845001000000101	Influenza vaccination invitation third email (procedure)
922	407620002	1 to 7 seizures a week (finding)
923	962851000000103	Patient Activation Measure Level (observable entity)
924	315640000	Influenza vaccination declined (situation)
925	408407009	Advised to attend for retinal screening
926	413759008	Carer of a person with alcohol misuse
927	385899006	Ear care education
928	160689007	Housebound (finding)
929	166281000000106	Childhood immunisation enhanced services administration (procedure)
930	526961000000105	Pregnancy advice for patients with epilepsy (procedure)
931	1066971000000105	Hypertension monitoring short message service text message third invitation
932	959691000000105	PSA monitoring SMS second invitation
933	446660005	COPD Assessment Test Score (CAT)
934	274512008	Drug therapy discontinued (situation)
935	185679000	Chronic disease monitoring - first recall
936	170922004	Repeat prescription monitoring (regime/therapy)
937	1321571000000102	SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) IgG detection result negative
938	445678009	Email report (record artifact)
939	1303503001	RSV (respiratory syncytial virus) vaccination
940	445076009	Uses manual note taker (finding)
941	494311000000100	DMARD monitored in primary care
942	185316007	Indirect encounter
943	421262002	Tongue swelling (finding)
944	408373006	Drug compliance checked
945	977951000000104	White: Irish - Scotland ethnic category
946	308430004	Chronic disease recall (procedure)
947	38628009	Homosexual (finding)
948	197321007	Steatosis of liver (disorder)
949	956841000000106	Dementia care plan agreed (finding)
950	873341000000100	Discussion about resuscitation (procedure)
951	868111000000100	Pre-school booster immunisation invitation first letter
952	965831000000103	Patient allocated to named accountable GP
953	977831000000102	Black or African or Caribbean or Black British: other Black or African or Caribbean background - Northern Ireland ethnic category 2011 census
954	591000119102	Vaccine declined by patient (situation)
955	271398006	Weight steady (finding)
956	880551000000105	Postnatal examination first invitation (procedure)
957	248161000000101	Referral for diabetic retinopathy screening
958	445061001	Preoperative counseling (procedure)
959	865901000000108	Pertussis vaccination in pregnancy invitation
960	408436009	Recommendation to caregiver regarding child's immunizations (procedure)
961	225343006	Assessment of needs
962	955661000000102	First intranasal seasonal influenza vaccination given by other healthcare provider (situation)
963	824401000000105	Carer of person with dementia
964	185903001	Needs influenza immunization (finding)
965	183693005	Gynecological self-referral (procedure)
966	401062003	Epilepsy medication review (procedure)
967	248331000000109	Cancer monitoring telephone invitation
968	1084191000000101	Mental health monitoring SMS text invitation
969	506401000000109	Not a carer (finding)
970	713481000000109	Audit Administration
971	135840009	BP monitoring
972	926261000000105	Latent tuberculosis screening declined (situation)
973	1103851000000109	Counselling offered (situation)
974	185719002	Hypertension monitoring first letter
975	851191000000106	Provision of information about abdominal aortic aneurysm screening programme (procedure)
976	977371000000109	Irish Traveller - Northern Ireland ethnic category 2011 census
977	1.08426E+15	Signposting to midwife (procedure)
978	720006006	Cancer care review (procedure)
979	858111000000107	Commission for Health Improvement experience of service questionnaire (assessment scale)
980	1052781000000102	Referral to health visitor (procedure)
981	1129761000000105	Pregnancy prevention programme
982	199791000000108	Patient advised to contact emergency ambulance service as soon as possible (situation)
983	106382009	Fire fighter (occupation)
984	306161009	Referral to community-based podiatry service
985	171058001	Drugs in pregnancy education
986	105531004	Housing unsatisfactory (finding)
987	95388000	Injection site pain (disorder)
988	737163006	Parent education about child health (procedure)
989	718241000000107	Issue of COPD rescue pack
990	77386006	Pregnant (finding)
991	319921000000100	Health coach initiated encounter
992	170626004	Inhaler technique - poor (finding)
993	736818002	Influenza vaccination requested
994	978401000000105	Other ethnic group: any other ethnic group - Scotland ethnic category 2011 census
995	959421000000105	Asthma monitoring SMS text message second invitation
996	197927001	Recurrent urinary tract infection (disorder)
997	247296006	Distressed by loud noise
998	714361000000105	Maternity service administration (record artifact)
999	415524009	Shared care prescribing referred back to hospital (finding)
1000	161898004	Falls (finding)
1001	11833005	Dry cough
1002	707445000	Exacerbation of mild persistent asthma (disorder)
1003	1362951000000104	Referral to mental health link worker
1004	946101000000100	Specialist alcohol treatment service signposted
1005	836201000000101	Referral to teledermatology service (procedure)
1006	3135009	Otitis externa (disorder)
1007	189486241000119100	Asymptomatic SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) infection
1008	231501003	Needle phobia (finding)
1009	939651000000103	Offer of statin therapy
1010	119981000146107	Dyspnoea caused by SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2)
1011	716681000000100	Depression monitoring second letter
1012	44870007	Misused drugs in past (finding)
1013	823411000000109	Has voluntary carer (finding)
1014	284774007	Able to perform personal care activity (finding)
1015	713821000000106	Dementia monitoring administration (record artifact)
1016	896711000000100	Patient asked to make telephone consultation appointment
1017	784431000000109	Admission to virtual ward (procedure)
1018	371973000	Malignant neoplasm of uterus (disorder)
1019	1092931000000109	Refusal to provide information about language read
1020	1.32536E+15	Requires last appointment in appointment schedule (finding)
1021	446172000	Failed attempt to stop smoking (finding)
1022	716091000000107	Excepted from coronary heart disease quality indicators - informed dissent
1023	509151000000108	Contraceptive implant removal invitation
1024	105529008	Lives alone (finding)
1025	775501000000108	Review of patient goals (procedure)
1026	1109721000000108	Digital cognitive behavioural therapy for insomnia (regime/therapy)
1027	927041000000102	Inappropriate use of accident and emergency service
1028	815711000000109	Shared decision making with patient decision aid
1029	304687006	Able to make considered choices (finding)
1030	228452000	No longer sexually active (finding)
1031	717531000000102	Heart failure monitoring telephone invitation
1032	420174000	Allergy to wheat (finding)
1033	401250009	Coronary heart disease monitoring 1st letter
1034	38341003	Hypertensive disorder, systemic arterial (disorder)
1035	781161000000107	Referral to diabetes education and self management for ongoing and newly diagnosed (DESMOND) structured programme declined
1036	819361000000109	Weight management programme offered (situation)
1037	705139001	Physical health assessment
1038	1321521000000101	Supply of medication for minor illness by community pharmacy (record artifact)
1039	266918002	Tobacco Smoking Consumption
1040	161147007	Speaks English well (finding)
1041	716031000000106	Excepted from diabetes quality indicators - informed dissent
1042	184085002	Patient moved in area
1043	936031000000106	Psychological wellbeing assessment (procedure)
1044	185326000	Did not attend - reason given (finding)
1045	266894000	Family history of cardiovascular disease
1046	169240004	Echocardiogram normal (finding)
1047	957481000000103	Not in employment, education or training (finding)
1048	1108151000000106	Requires carer to be present at encounters (finding)
1049	1110891000000108	QOF Cardiovascular disease primary prevention quality indicator-related care invitation
1050	711471000000106	Lipid disorder monitoring invitation (procedure)
1051	868711000000104	Rotavirus vaccination declined (situation)
1052	717461000000108	Chronic kidney disease monitoring third letter
1053	410240006	Pain control management (procedure)
1054	868031000000109	12-13 months immunisations invitation third letter
1055	228445002	Gets no exercise (finding)
1056	183100002	Blood pressure leaflet given (situation)
1057	1129361000000106	Canadian Study of Health and Aging (Rockwood) Clinical Frailty Scale level 4 - vulnerable (finding)
1058	309080005	Thyroid stimulating hormone level above reference range (finding)
1059	193462001	Insomnia (disorder)
1060	344211000000108	Follower of Free Christian Church (person)
1061	184127005	Questionable if patient address correct
1062	773031000000109	Express consent for core SCR (Summary Care Record) dataset upload
1063	270424005	Letter encounter from patient (procedure)
1064	281399006	Did not attend
1065	185832002	Well adult monitoring third letter
1066	720026005	Shared care prescribing of drugs (regime/therapy)
1067	225469004	Interested (finding)
1068	1325041000000104	Referral to Your COVID Recovery rehabilitation platform
1069	185420007	Appointment made by telephone (finding)
1070	1066821000000101	COPD (chronic obstructive pulmonary disease) monitoring SMS (short message service) text message first invitation
1071	390893007	Referral to physical activity program (procedure)
1072	199351000000104	Declined referral to physical exercise programme (situation)
1073	415272006	Referral to genitourinary clinic (procedure)
1074	248213001	Flushed complexion
1075	401086001	Pneumococcal vaccination declined
1076	298347004	Falls infrequently (finding)
1077	166603001	Liver function tests outside reference range (finding)
1078	516221000000103	Impaired glucose tolerance monitoring administration
1079	700414001	Education about diabetes and driving
1080	1129351000000108	Canadian Study of Health and Aging (Rockwood) Clinical Frailty Scale level 3 - managing well (finding)
1081	183852004	Referral to lipid clinic
1082	712821000000104	Learning disability annual health check invitation third letter
1083	865031000000103	Informing carer (procedure)
1084	366241000000106	General practice physical activity questionnaire physical activity index: active
1085	62315008	Diarrhoea
1086	170763003	Diabetic - good control (finding)
1087	713056003	Discussion about clinical red flag warning sign
1088	162158000	Vaginal discharge present (situation)
1089	315053001	Administration of prophylactic statin (procedure)
1090	417096006	Referral to community drug and alcohol team
1091	315578005	Main spoken language Mandarin
1092	960781000000101	Remote triage and advice plan (record artifact)
1093	957031000000107	Uses deafblind intervener (finding)
1094	445375000	Does not use contraception (finding)
1095	710738006	Education about symptom control (procedure)
1096	1403061000000101	SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) vaccination invitation third short message service text message
1097	29699008	Editor, newspapers and periodicals (occupation)
1098	15920121000119103	Allergic reaction caused by vaccine product (disorder)
1099	703040004	Agreeing on diabetes care plan (procedure)
1100	1326191000000103	Referral for assessment for familial hypercholesterolaemia (procedure)
1101	1053431000000104	Personal Wellbeing Score rating - what I do in my life is worthwhile (observable entity)
1102	415629007	Stroke/TIA monitoring second letter
1103	445455005	Generalized anxiety disorder 7 item score
1104	182809008	Renal function monitoring
1105	160725005	Lives alone - help available (finding)
1106	887821000000102	Chronic disease management annual review invitation
1107	904471000000104	NHS Health Check Follow Up
1108	248301000000103	Phlebotomy domiciliary visit done (finding)
1109	306807008	Recommendation to start drug treatment (procedure)
1110	442234001	Serum cholesterol raised
1111	297216006	Increasing breathlessness (finding)
1112	1098041000000101	Referral to employment support service
1113	1046491000000107	Provision of NHS Scotland Medicine Sick Day Rules card
1114	275104002	Family history of stroke / cerebrovascular accident
1115	240451000000106	Requires constant supervision (finding)
1116	294201000000109	Bowel cancer screening declined
1117	1.06058E+15	Referral for Early Help Assessment (procedure)
1118	1066921000000106	Diabetes monitoring SMS text message second invitation
1119	366211000000105	General practice physical activity questionnaire physical activity index: moderately active
1120	767661000000105	Referral to weight management service offered
1121	866141000000103	Pertussis vaccination in pregnancy invitation first letter (procedure)
1122	1240721000000105	Advice given about SARS-CoV-2
1123	1321541000000108	SARS-CoV-2 (severe acute respiratory syndrome coronavirus 2) IgG detection result positive
1124	394683006	Diabetic foot risk assessment
1125	1187604002	Serving in military service (finding)
1126	957791000000106	Meningitis ACW and Y vaccination declined
1127	1098881000000103	Declined to give smoking status
1128	1094411000000102	Declined to disclose housing status (finding)
1129	714301000000106	Appointment administration (record artifact)
1130	170500000	Isolation of infection carrier
1131	1053701000000101	Signposting to Macmillan Cancer Support
1132	248241000000107	No longer has a carer (finding)
